SYMBOL,BEST_BID_PRICE,BEST_BID_SIZE,BEST_OFFER_PRICE,BEST_OFFER_SIZE
IBM,123,233,202,122
TCS,232,23,233,202,122
WIPRO,234,23,233,202,122
IBM,121,23,231,202,122
TCS,234,23,233,202,122
IBM,123,23,121,202,122
IBM,122,23,122,182,122
TCS,231,23,233,202,122
IBM,123,23,121,202,122
IBM,223,23,233,202,122
IBM,234,23,233,132,122
IBM,223,23,233,202,122
IBM,234,23,233,202,122
WIPRO,230,23,233,202,122
TCS,234,23,233,202,122
IBM,234,23,233,202,122
WIPRO,236,23,233,202,122
IBM,234,23,233,202,122
TCS,234,23,233,322,122
IBM,234,23,233,202,122
IBM,234,23,233,202,122
TCS,234,23,233,202,122
IBM,234,23,233,232,122
IBM,234,23,233,202,122
IBM,234,23,233,332,122
TCS,234,23,233,222,122
WIPRO,237,23,233,202,122
IBM,234,23,233,202,122
TCS,234,23,233,332,122
IBM,234,23,233,202,122
WIPRO,233,23,233,202,122
IBM,234,23,233,222,122
TCS,234,24,233,212,122
IBM,234,23,233,202,122
WIPRO,232,23,233,202,122
IBM,234,21,233,202,122
WIPRO,234,23,233,202,122
IBM,234,23,233,202,122
TCS,234,23,233,202,122
IBM,234,19,233,202,122
WIPRO,234,23,123,202,122
IBM,234,23,233,202,122
TCS,234,23,233,202,122
IBM,234,23,233,202,122
WIPRO,234,23,233,202,122
IBM,234,23,233,202,122
WIPRO,234,23,233,202,122
IBM,234,23,122,202,122
TCS,234,23,233,202,122
IBM,234,23,222,202,122
WIPRO,234,23,233,232,122
IBM,234,23,221,202,122
TCS,234,23,233,212,122
IBM,234,23,212,202,122
WIPRO,234,23,233,202,122
IBM,234,23,233,192,122
